ID,Species,Len1,Len2,Len3,Height,Width,Sex,Weight
104,Perch,12.5,13.7,14.7,24,13.6,,32
105,Perch,13.8,15,16,23.9,15.2,,40
106,Perch,15,16.2,17.2,26.7,15.3,,51.5
107,Perch,15.7,17.4,18.5,24.8,15.9,,70
108,Perch,16.2,18,19.2,27.2,17.3,,100
109,Perch,16.8,18.7,19.4,26.8,16.1,,78
110,Perch,17.2,19,20.2,27.9,15.1,,80
111,Perch,17.8,19.6,20.8,24.7,14.6,,85
112,Perch,18.2,20,21,24.2,13.2,,85
113,Perch,19,21,22.5,25.3,15.8,,110
114,Perch,19,21,22.5,26.3,14.7,,115
115,Perch,19,21,22.5,25.3,16.3,1,125
116,Perch,19.3,21.3,22.8,28,15.5,0,130
117,Perch,20,22,23.5,26,14.5,0,120
118,Perch,20,22,23.5,24,15,,120
119,Perch,20,22,23.5,26,15,,130
120,Perch,20,22,23.5,25,15,,135
121,Perch,20,22,23.5,23.5,17,0,110
122,Perch,20.5,22.5,24,24.4,15.1,0,130
123,Perch,20.5,22.5,24,28.3,15.1,0,150
124,Perch,20.7,22.7,24.2,24.6,15,,145
125,Perch,21,23,24.5,21.3,14.8,,150
126,Perch,21.5,23.5,25,25.1,14.9,,170
127,Perch,22,24,25.5,28.6,14.6,,225
128,Perch,22,24,25.5,25,15,,145
129,Perch,22.6,24.6,26.2,25.7,15.9,,188
130,Perch,23,25,26.5,24.3,13.9,0,180
131,Perch,23.5,25.6,27,24.3,15.7,,197
132,Perch,25,26.5,28,25.6,14.8,,218
133,Perch,25.2,27.3,28.7,29,17.9,0,300
134,Perch,25.4,27.5,28.9,24.8,15,0,260
135,Perch,25.4,27.5,28.9,24.4,15,,265
136,Perch,25.4,27.5,28.9,25.2,15.8,0,250
137,Perch,25.9,28,29.4,26.6,14.3,,250
138,Perch,26.9,28.7,30.1,25.2,15.4,0,300
139,Perch,27.8,30,31.6,24.1,15.1,0,320
140,Perch,30.5,32.8,34,29.5,17.7,,514
141,Perch,32,34.5,36.5,28.1,17.5,,556
142,Perch,32.5,35,37.3,30.8,20.9,0,840
143,Perch,34,36.5,39,27.9,17.6,0,685
144,Perch,34,36,38.3,27.7,17.6,0,700
145,Perch,34.5,37,39.4,27.5,15.9,0,700
146,Perch,34.6,37,39.3,26.9,16.2,0,690
147,Perch,36.5,39,41.4,26.9,18.1,0,900
148,Perch,36.5,39,41.4,26.9,14.5,,650
149,Perch,36.6,39,41.3,30.1,17.8,,820
150,Perch,36.9,40,42.3,28.2,16.8,0,850
151,Perch,37,40,42.5,27.6,17,0,900
152,Perch,37,40,42.4,29.2,17.6,0,1015
153,Perch,37.1,40,42.5,26.2,15.6,0,820
154,Perch,39,42,44.6,28.7,15.4,0,1100
155,Perch,39.8,43,45.2,26.4,16.1,0,1000
156,Perch,40.1,43,45.5,27.5,16.3,0,1100
157,Perch,40.2,43.5,46,27.4,17.7,1,1000
158,Perch,41.1,44,46.6,26.8,16.3,0,1000
159,Perch,41.1,44,46.6,26.8,16.3,0,1000
